ジャンル,投稿日時,星の数,見出し,レビュー全文
文学・評論,2017年10月14日,4,映画になるというので,映画になるというので、読んでみました。さすがの東野ミステリー、こちらもミステリー読み巧者であることには人後に落ちないつもりですがヤッパリやられました、上手いです。膝をたたかされます。一気読みは間違いなし描写も安定し、ホテル関係者が身内にいるためにホテル内の話は聞くことも多いので、とても細部はリアルに感じました。人物の描き方も多彩です。ゆいいつ気にになるのは、エンターテイメント故に、重要な人同士の関係性で、少々の心理面、心情面でのつじつま合わせがあるように感じ、それも仕方ないのかなという所。それでもこれ位読ませるのだからすごいものですあと主人公が、キムタク声で再生されるくらい、イメージがぴったりなのが驚きでした。長沢？があとどう演じるのかも楽しみ。
文学・評論,2011年9月12日,3,唐突なミステリー?,「新参者」のホテル版のような展開です。いろんなホテルのエピソードを絡めて物語が進むのですが…既視感のあるものばかりで新鮮味がない。本筋のミステリーも伏線らしいものはなく最後のほうで唐突でこじつけの収束になってるし、動機もあまりに説得力がなさすぎる。 東野圭吾さんのファンとしては本当に残念でならない…以前は読んだ後に考えさせるドロッとした濃密だったのに 最近の作品は 内容が薄くサラッとしたもので物足りない。次回作に期待か…
文学・評論,2017年11月21日,5,読みやすく読後感も良好,同僚から勧められて読み始め。初めての東野圭吾作品です。高級ホテルを舞台に、警察の潜入捜査がはじまり…というところで、設定としては難しいなあ、と思いつつ。日頃から暗号の鍵となる要素に接しているせいか、暗号もなんとなくわかってしまったのですが、まさかまさかのそんな展開、と一気読み。関係ないと思われる会話や、エピソードとして出てくる人物にきちんと伏線をからめていたりと、「あの時のあれがここにつながってこうなるのか！？」と読む手が止まりませんでした。読後感も良く、スッキリと読み終わる事ができました。シリーズとして続刊という事で、引き続き読み進めていきたいと思います。以降も楽しみ。
文学・評論,2011年9月11日,4,面白かったですが・・・,冷静に読めばつじつまが合わないところも多すぎるし、無茶な犯罪計画っていうのは誰でも思うところなのだろうが、さすが今や神作家となった東野圭吾にとってみれば、その辺は瑣末なことなのだろう。（もっとも、作者もいくらか自覚しているであろうことは最終章458ページあたりの記載からも読み取れるが・・・）それでもとりあえずは読者を納得させてしまう筆力はやはりさすが。前2作との比較でも、個人的には最も出来が良いと感じられ（というより前2作はやや不満だったのだが）東野全作品でも上位1/3くらいには入るのではないかと思う。
文学・評論,2015年2月15日,3,一気に読めます。,面白いが、この方ますます多作ライト化している感じ。稼いでますね。貢献しました。
文学・評論,2014年11月21日,5,ホテルを取り巻く人間模様を巧みに描く秀作,マスカレード・イブを先に読んで、面白かったので本作を読むのを楽しみにしていたのですが、漸くこのほど読むことができました。人格的には未完成ながら能力的に優れたものを持つ若手刑事が、ある事件捜査上の必要から、都内一流ホテルに潜入し、ホテルマンに扮して、優秀なホテル（ウー）マンとともに事件解決に向かって奮闘していきます。そこに、他の刑事が絡み合って、謎の連続殺人事件の謎が少しずつ解きほぐされていきます。本作は、ホテル、特に一流シティホテルを訪れる人々と、それを迎えるホテルマンの矜恃が一つの重大なテーマとなった小説であって、単なるミステリーではないと思います。それゆえ、ミステリーとしての謎かけ・謎解きの部分だけに着目すると、やや物足りなさをお感じになる向きもあろうかと思います。しかし、私はホテルを取り巻く人間模様を筆者ならではの筆致で瑞々しくそして迫力十分に描いていく人間小説であって、非常に面白く読むことができました。ネタバレになるので詳しくは述べませんが、読了してみてマスカレード・イブという作品が伏線になっていることが納得できました。ただ、読む順番としては、どちらが先になってもそれほど致命的な問題でもないだろうと思いました。
文学・評論,2011年9月13日,5,マスカレードホテル,届いたのは10日でしたが、12.13日で読みました。この手の逸話が多くあるお話は「新参者」以来テレビ向きですね。東野圭吾ファンになったのは最近で「新参者」以来ですが、まだ52作品くらいしか読んでいませんが、面白い方に属する作品ではないかと思います。
文学・評論,2014年8月17日,3,東野圭吾サイコー,ストーリー展開が面白かった。映像化したらどうなるだろうと思った
文学・評論,2014年8月21日,3,マスカレード・ホテル,東野圭吾ファンとしては物足りなかった。でもマスカレード・イブも購入しますけどね！
文学・評論,2018年11月30日,3,やっぱ尻すぼみ感が・・,マスカレード・ナイトほどの腹立ちはありませんが、推理に一番重要な人物である松岡高志がかなり終わりの方で取ってつけたようにいきなり登場してますよね。確かに安藤絵里子のパートで出てきた山岸の昔のエピソードとは繋がってるんですが、名古屋の話や劇団の話はそれまでの伏線にもないし、終わりの方で怒涛で付け足されても後付け感が半端ないんです。犯人である片桐瑶子（長倉麻美）も実はもっと若い女性でした～とかで最後に種明かしされても、盲目婆パートでそれを匂わす記述が一切ないので、なんか読者はどっちらけって気になります。殺人に至る動機も単に男に騙された女が流産した恨みでしたって・・しかも山岸に対してはそれ完全に逆恨みだし
文学・評論,2017年10月1日,4,映画化決定,来年、キムタクと長澤まさみの主演で映画化するようですね。原作の内容が非常に面白い内容立ったので今からとても楽しみです。続編も最近発売されました。まずはこのマスカレードホテルを読んでからマスカレードナイトを読むことをオススメします。東野圭吾節炸裂の傑作ミステリーです。
文学・評論,2012年12月13日,5,良い,東野圭吾の本なので面白いし、本訴の物もきれいだった。良かったです
文学・評論,2011年10月3日,2,ミステリーとしては評価したくないライト・ウェイト・ノベル,まあ、ライトウェイトの作品だな。たぶん、すぐに内容を忘れてしまうような、記憶に残らない作品だ。そもそも、これはミステリなのか?著者がこの作品に込めた意図は?そして、本作はハードカバーで刊行される価値があるのか?とっても読みやすい作品ではある。それは、どうしてもその直前に読んでいた京極夏彦作品と比べてしまったせいもある。しかし、本作が一応ミステリとして意図された作品ならば、もっとミステリとしての意味を持っていてほしい。確かに、ホテルマンの接客に対する考えなど、読んでいるときには面白い。でも、これって森村誠一作品なら、もっと辛辣であり、実感が籠もったタッチで既読だからね。ミステリとしての仕掛けもあっさりとしているし、底が浅い。それに、捜査状況や事件の情報の詳細が明示されないため、読者に推理する余地がない。これって、ミステリとしては失格だよ。でも唯一、ホテルを仮面舞踏会に見立て、客もまた仮面舞踏会への参加者であるというところは、面白い考え方である。その仮面舞踏会でゲストとホストが丁々発止のやりとりをする、というのが本作の中で著者が述べたかったことのようだ。それはある程度、いや、けっこう良く表現されていたのではないだろうか。傑作とはいいがたい。しかし、スラスラと読めるし、なにか赤川次郎作品のような感じだ。このあたり、掲載誌のことも含めて、おそらく著者の計算上のことであろう。
文学・評論,2016年8月11日,4,相変わらず器用な作品ですが・・・・。,一定レベルの推理小説を書くことは、この作家にとって当然なことの様で、凡庸な作家の書いた推理小説群のレベルは軽く越しています。それだけに、読者の期待するレベルは高いのは当然で、この作品も読ませることは読ませるのです。ただ、ヒロインと思われるホテルのフロント係の女性の描き方が、もっと魅力的に描けないものかと不満に思えます。加えて、ヒーローと思われる刑事役の相棒的な立場の所轄の中年刑事の立場がはっきりしない。突然現れ、一瞬犯人では？というような気分にさせられたのは自分だけでしょうか？結局は所轄の名刑事であることがわかるのですが、なんだか中途半端です。話の展開を上手くまとめたのは相変わらず見事ですが、作者の器用さだけが妙に印象に残りました。
文学・評論,2011年9月10日,3,ドラマ化を意識しすぎ,"次々と怪しげな登場人物が客として現れ、それが一定の間隔で処理されていく（疑いが晴れたり、謎を解くヒントになっていたり）。それがことごとく、ドラマ1話分になるように計算されているようで、読んでいて途中で少し気持ちが萎えました。おもしろくないわけでは無いのですが、1冊で読ませよう、という感じでは無いように感じました。昔の東野さんの作品に比べて商業主義的というか。映像化された作品は多いですが、昔に比べてそれを意識した作品（作り自体）が多いように感じます。
私だけでしょうか？"
文学・評論,2014年5月28日,5,ドキドキ,最後まで、ドキドキした状態で読めました。まさかの展開が東野圭吾ですね。楽しかったです。
文学・評論,2017年11月25日,5,素晴らしいミステリー作品に脱帽。,この人の頭の中は一体どうなっているのだろう。綿密な取材に裏打ちされているのだろうが、ストーリー展開といい、プロットの立て方といい、素晴らしいの一言。昔、石ノ森章太郎のホテルってドラマがあったが、その場面場面が、文字の中で鮮明に蘇ってくるようだった。是非続編にも期待したい。文句なしに星五つ。
文学・評論,2014年2月7日,5,マスカレード・ホテル　東野圭吾,とても面白かった！刑事とホテルウーマン二人の主人公の人間性が絡み合い読みいってしまった。
文学・評論,2015年3月9日,5,期待通りでした,事件がどこで起きるのか興味深々で、意外なところから発生。また東野マジックに騙された感じがしました。
文学・評論,2014年9月13日,5,新しいヒーロー ヒロインの誕生,さすが東野圭吾　新しいヒーローヒロインの誕生が見えました。マスカレードイヴも楽しみ
文学・評論,2018年10月20日,2,登場人物の行動にモヤモヤ,"リアリティを追求しすぎては話が進まない、ということは承知しているが…登場人物メイン2人の「自身の立場をわきまえない出過ぎた行動」「情報漏洩」には辟易した。読みながらいらついて仕方がなかった。
学生時代までに読んでいたら楽しめたのかもしれない。話の流れも小話続きでラストあっさり、正直がっかりする内容だった。"
文学・評論,2016年12月13日,5,映像化してほしいような、ほしくないような,今までなんとなく敬遠していた東野圭吾さん。接客業をしている事もあり、この作品を人にすすめられて、初めて読みました。どんどん引き込まれていきました！読みやすいし、最後まで息つく暇もないくらい、一気に読めてしまいました。ホテルマンの仕事も、同じ接客業として参考になる部分があり、そういった面でも楽しめました。
文学・評論,2015年11月28日,4,面白い,連続殺人事件の犯人も気になるが、優秀なホテルマンと刑事の掛け合いが面白い。ホテルマンと刑事は対照的な職種だ。刑事は相手の仮面を剥がすこと、ホテルマンはお客様の仮面を守ることが仕事。ホテルマンて大変な仕事やな。
文学・評論,2017年10月11日,5,流石の安定感,大がかりな仕掛けがある訳ではないが、全体に張り巡らせた伏線はまさに匠の技といったところ。満足できる一冊。
文学・評論,2017年1月22日,5,おもしろい!,寝れませんでした。さすが東野圭吾さんです、東野圭吾さんの頭のなかはどうなってるんだろう笑分かりやすく、内容が相変わらず濃い。飽きずに一気読みです！
文学・評論,2017年12月23日,5,さすが東野圭吾,期待通り時間を忘れさせるように小説に没頭させてくれる。一番コアになっている事件の鍵は最後になるまでわからなかった。
文学・評論,2017年12月13日,3,サラッと読みやすい感じ、かな,発売当初に読んだなぁと思ってレビューしてみます。読んだ感想は、まぁ読みやすく、わかりやすい。サラッと読める感じでした。東野圭吾さんの作品なので、いずれ映画になるんだろうな..と思ってたが、やはり。ほぼ舞台がホテルなので、舞台作品としてもやりやすい作品かも？
文学・評論,2017年9月1日,5,夢中になって読んだ,"本当はあり得ないけど、実際にはありえるかも!と思えるシチュエーションだと思いました。面白かった。
主人公二人のプロフェッショナルな姿には、学ぶこともあり、捜査の考え方も、実際そうなのかわかりませんが、とても参考になりました!"
文学・評論,2014年8月27日,1,期待外れ,期待外れでした。無駄な展開が多く、結末にも意外性がなくとても残念。
文学・評論,2016年6月23日,5,人物成長が読んでて気持ちよかったです,ホテルのフロントに潜入する新田刑事。連続殺人事件の次のターゲットのヒントが指し示すのは、都内の一流ホテル。ちょっとしたエピソードが、新田ホテルマン成長物語のよう（笑）。犯人は意外でした。動機も。というか、そんな動機で！？どんだけ執念深いの？と思うところも。本人にしてみれば、残りの人生を捨ててもいい位のことだったのかもしれませんが。。。ちょっと、回廊亭殺人事件を思い出しました。あと、仮面山荘殺人事件。（題名だけ！？）他の方も書いてますが、最近の東野作品は、映画化を意識したような書き方な気がします。昔は地味な心理戦とかだけの作品もあったので。それはそれで楽しめるので、私は気になりませんが、ラストの盛り上がり部分は何か音楽が聞こえてきそう（笑）所轄の刑事が気になりました。続編で出てくればいいなと思いました。
文学・評論,2017年9月9日,4,面白かった!,とても面白く読めました。ただ新田が何気ない会話から、次々と事件解決のアイディアを閃くのはちょっと出来すぎてるかなと思いました。まあそれが小説ですよね。今後続編が出てきたらいいなあ、、
文学・評論,2017年10月29日,4,面白い設定,犯人も被害者も分からない、分かるのは場所と日付だけ。新鮮な設定で面白い。登場人物のキャラクターも好きです。
文学・評論,2017年6月17日,5,全く読めない展開,東京の高級ホテルが舞台の話。連続殺人事件の次の犯行現場となるそのホテルで、犯行を防ぐために刑事がホテルマンに扮するというなかなか面白い設定。普段あまり東野圭吾の小説は読まないので比較はできないけどもこの作品は展開が読めず、登場人物も魅力的で作品に引き込まれてしまった。続編のマスカレードイブにも大いに期待したい。
文学・評論,2015年9月30日,5,論理的です,"警察が、連続殺人の４つ目が起こると推定する一流ホテル、コルテシア東京を舞台に、フロントクラーク山岸尚美さんと、事件を防ぐべく彼女の後輩として潜入した新田浩介刑事を中心に物語は展開されます。
既に起こった３つの殺人事件の経緯や捜査進捗、コルテシアで次がありそうな理由、そして、クレーマーや変わり者の客へのホテルマンの応対が幾つかエピソードのように語られます。つまり、要素が多めです。それで、話が面白いのでページがどんどん進み、中ほどを過ぎたあたりで新田刑事が最初の事件について考察を始めたりすると、あれ？容疑者は誰なんだっけと、最初の方を振り返らなければなりませんでした、ワタシは、ですが。でも、煩雑な感じはありません。新田刑事は、カンで飛び越えるところはもちろんありますが、事ごとについての考え方や、同僚や山岸さんとの会話の中できっかけを掴んで繰り出す推理が論理的経験的で、それを好む読み手には絶好の物語になっていると思います。"
文学・評論,2017年11月14日,4,対照的な二人が、束の間の職場の同僚として、共感を深めていく過程が面白い,奇妙な2つの数字の羅列を残して、7日ごとに繰り返された3つの殺人事件。次の犯行場所と見なされるホテルコルテシアにホテルマンに扮して潜入捜査することになった新田刑事。その指導係に抜擢された山岸尚美。他人を疑いの目で見て、悪人を取り締まることが仕事の刑事と、客を快適な気分にさせ、もてなすことが仕事のホテルマン。価値観や人間観の違う対照的な二人が、時に衝突しながらも相手のことを理解して評価するように変わり、束の間の職場の同僚としての共感を深めていく過程が面白く、楽しめる作品だった。視覚障害の老婦人との出来事、ストーカー騒ぎ、新田をいびり倒すクレーマーの話といった途中のエピソードも面白い。ホテルの内部事情を知ることもできる。山岸の仕事に対するプロフェッショナル意識の高さ、できる女ぶりには感心した。新田の挫折、山岸の苦悩なども描かれ、二人の成長物語にもなっている。また、新田をサポートする能勢刑事の人柄が印象的だった。連続殺事件の真相の複雑な構造、意外な犯人、新田が他の人物と会話をする中で事件のからくりに気づく過程、終盤の犯人登場までの緊迫感のある描写など、ミステリ―としての見所も多い。犯人の計画がちょっと大掛かりすぎて、そこまでやるかなと疑問には感じた。
文学・評論,2015年1月4日,4,分厚いけど読みやすい,書店で見かけて思わず買ってしまったけど、あまりに分厚くてためらってました。しかし、実際に読み始めるとどんどん止まらなくなります。加速度の付く展開に引き込まれていくのです。主人公はホテルの優秀なフロントクロークの山岸尚美と、若手の敏腕刑事　新田浩介。連続殺人事件を追う警察が次の現場と予告されたホテルの協力のもと、潜入捜査を行うという筋書きで、新田刑事がフロントクロークの業務を山岸に教わりながら、人間模様と犯人を追うストーリーです。ホテルに新しい宿泊客が来るたびに、こいつが犯人だろうか？と思わせながら、ホテル独自の人間模様が描かれて行きます。新田刑事もすっかりホテル側の人間みたいになって行きます。そうやって読者を振り回しながら、徐々に核心に近づきます。伏線がどこにあるか分からなくさせるためですね。トリックというか犯人側のいきさつはネット時代らしいというもので、既にありそうなものです。暗号もそんなに難しくなくされています。小難しい科学的なトリックではなく、仮面の下に隠された人間の心と行動そのものがミステリーという感じです。最終的に主役の二人が近づきつつも、お互いの職域を守ろうと反発しあうのは良いとして、色々と歯がゆさが残ります。これは続きを書くのは難しいかなと思ってましたが、続巻がありますね。（時間は戻ってますが)キャラクターとしては面白い二人なので、また別の展開が楽しみではあります。
文学・評論,2015年5月18日,4,東野作品は、やはり、面白い。,"あらゆる機能が詰まった、街空間である巨大ホテルにやってくる様々な宿泊客に対し、ホテルマン（山岸尚美）が高いプロ意識を持って、顧客の立場に寄り添い、問題を解決していこうとする姿勢には、感心させられる。ホテルの魅力、ホテルマンのプライドが、作品でしっかり描かれていた気がしますね。そして、ふとしたことから、事件解決の糸口を探る、警視庁警部（新田浩介）の想像力、推理力、脚を使って、豊富な人脈を生かしながら、聞き込みで地道に情報を集める所轄刑事（能勢）、頭がよくキレる、魅力的な刑事が点を線にしていく展開は楽しめましたね。最後、ホテル内での殺人事件が決行される当日、
結婚式・披露宴で無線でイヤホンから次々情報が入ってくる緊迫した展開は、本当に息詰まり、ドキドキしました。東野作品は、本当にストーリーが面白いですね。ドンドン惹き込まれます。他の作品も、ドンドン読みたくなりました。"
文学・評論,2015年3月8日,1,凡作,途中まで読んで、これは日本ホテル協会の委嘱で、ホテルマンはいい仕事をしているということを世間にアピールするために書かれた宣伝小説じゃないかと思った。それにしても退屈する。不必要に長いし、グランドホテル形式みたいにごてごて人が出てくる。連続殺人と見せかけた不連続殺人とか、変装とか、偽装毒とかネタは使い古されているし、ヒロインなのであろうホテルの女性が読んでも読んでも魅力的に見えてこない。こういうのが東野レーベルで売れてしまうというのは嫌だなあ。
文学・評論,2011年9月21日,3,ホテルの中で仮面を被っているのは、客たちだけではない・・・。,次々と起こった殺人事件に残された不思議なメモ。明らかに同一犯と思われる人物が次の殺人を予告したのは「ホテルコルテシア東京」。警察官が数人、スタッフとしてホテルに潜入した。なぜ、予告したのか？捜査を攪乱する偽情報ではないのか？ジリジリしながら捜査を続ける警察と犯人との息詰まる頭脳戦の中、意外な事実が判明する…。　舞台はほとんどがホテル内であるが、警察とホテルのスタッフ、宿泊客など登場人物は場所柄だけに、多い。犯人かと思わせる人物を描くのには恰好の舞台だ。まさしく「グランドホテル形式」の作品。思わせぶりに描かれる人物が多いので、ちょっと混乱。
文学・評論,2011年9月30日,3,限られた舞台で,連続殺人事件を発端に、ホテル内を舞台とした物語となっている。伏線と思われる多数の登場人物が現れ、犯人像が掴めないまま、読み進めていく。舞台設定のほとんどが高級ホテル内で展開される。爽快なスピード感は感じられなかったが、ホテルに来る客は実際に存在しそうであり、アクセントとして話を複雑にしているのも一つのポイントである。また、主人公が狭い行動範囲の中で、推理を進めていくのも落ち着いた感がある小説となっている。読みながらハラハラ・ドキドキまではいかないが、物語の内容については東野圭吾特有の人間の裏側をまざまざと見せつけられたようであった。
文学・評論,2014年9月21日,3,娯楽としてはアリ。でも設定が安易かも,最高傑作かは別として、後半の謎解きまで一気に読めたし、ホテルに現れる怪しげな客たちとのやりとりは面白く、週末や長時間フライトなどに読む娯楽小説としてはおすすめだと思います。が、映画化やテレビ化を狙ったような主役ふたりのキャラクター設定がね〜…。主役ふたりはかなりステレオタイプ。反骨精神ありスタンドプレイも多いキレもの若手刑事(外見は浅黒い精悍な顔立ちだそうです)と、気が強いけど優秀でまじめな美貌のホテルウーマンが、最初は反発しあいながら、やがて互いのプロ意識や能力に敬意を払うようになり、最後は事件解決のためふたりで知恵を絞り、あげくに危機に堕ちたヒロインをすんでのところで刑事が救う…なんて、今まであちこちで散見してきたテレビドラマの焼き直しみたいで新鮮味なし。何より、こんなに機密情報をぺらぺら喋っちゃう刑事ってアリ？と疑問でした。それが昨今の警官による捜査情報の漏洩事件への皮肉なのならまだいいけど、この作品ではヒロインを謎解きに巻き込むために必要以上に(著者が)刑事に機密情報を喋らせてる印象があり、そのへんがちょっと強引すぎて興ざめ。若き新田刑事と風采の上がらない能勢刑事のコンビものにしたほうが小説としては面白かったような…。でも美貌の勝ち気ヒロインのほうが映像映えするのは確か。このあたりに著者の商売魂を見た思いでした。娯楽小説としてはアリ。ミステリーとしては、う〜ん。よく読むと若干ご都合主義な謎解きにも見えますが、そこは筆力でカバーという印象を受けました。
文学・評論,2015年8月27日,3,謎解きミステリとしてはイマイチでしたが・・・,業界もの──巨大ホテルの内情をつぶさに描く物語──は、寡聞な私には実に興味深かったです。スキッパー事件や、主人公と因縁浅からぬ嘗ての教育実習生との思わぬ邂逅などのエピソードもなかなか面白いものでした。シリーズ続編は短篇集のようですが、ぜひ読んでみたいと思いました。私の趣味であるエア・キャスティングでは主人公・新田＝伊藤英明、敏腕ホテルウーマン浩美＝真矢みき（もしくは壇れい）なんかを思いつきましたがどんなものでしょうか。
文学・評論,2016年10月31日,4,異業種交流戦。,エリートですが何か？　一人じゃ何もできないんだぜ、意気がってみてもさ。一流は一流を知る。人は見掛けによらず、一流な人は、他の分野でも一流の仮面を被り演じきることができる。閃きは突然に。プロにはプロの見方があり～のってことで、素人を小バカにしがちだが、固定観念にどっぷり浸かると、視野が狭く。業界には業界のルールがあるが、決して杓子定規に縛られるものではない。臨機応変に対応するには、顧客満足度upという軸がしっかりしていないと。TPOに応じた仮面は欠かせない。
文学・評論,2016年3月21日,5,とても気に入りました,東野圭吾さんの作品を読んだのはこれが初めてでした。高校2年生のお子様の私は言葉のボキャブラリーが少ないので、気の利いたレビューはできませんが、マスカレード・ホテルは素直に面白い本で、とても楽しく読めました。ミステリー要素はみなさんが言う様に物足りなく感じる点は人によってあるでしょうが、私のようなお子様には特に物足りなさは感じませんでしたし、それ以上にちょっぴり恋愛要素があるところが非常に気に入りました！！思わず2人のこれからの恋愛の行く末を描いた続編を期待してしまうほどに！恋愛モノを嫌煙していた私には驚きでした。
文学・評論,2015年10月31日,3,素人でも読めますが納得いくかは人それぞれ,私は読書家ではないので登場人物をイメージしやすいガリレオシリーズを一気読みしたクチなのであまり参考にはならないかもしれませんが、読書家でなくても一気に読める勢いはあります。最初に人物と事件を整理しながら読むのは大変ですが、これは個人差があると思います。新田がホテルマンとしてのルールを叩き込まれながらいい意味で丸くなっていく心情変化がこの小説の一番のカタルシスではないでしょうかクレーマーニート先生が一番怖かったかな、実際あんな客がいたら戦慄します。正直、わかりにくい部分もけっこうあったので映像化を期待します。
文学・評論,2011年9月26日,2,駄作,"これが、東野作品か？と思うと。がっかりする。取ってつけたような残り４０ページあまりの結末。なにも無理やり主犯を作る必要は無かった。もともと、タイトルからして、東野作品にしては？このタイトル？新たな分野に乗り出すか？と、思わせるものだったか。。新人の作家が書いたなら・・「ふ〜ん」
まーそれなりに。。だと思うが。「幻夜」や「白夜行」を知ってる自分からしたらこの作品は、残念でならない。ホテルに潜入操作で入った、刑事と、惚れるフロントレディーとのやり取りだけで、何か訴えるものがあったか？と言うと。何もない。つい最近の作品に、「麒麟の翼」があるが？同じ作者が書いたとは思えない。。駄作。"
文学・評論,2011年9月10日,5,おもしろい,発売日に届き一気に読み終わりました。やっぱり東野さんの作品は読み易くて面白いです。買ってよかったです。
文学・評論,2017年10月22日,3,些細なことですが,面白かったのですが、些細なことに引っかかってしまいました。ホテルの中の刑事さん達の控え室、溜まり場？がたとえ棟が違うにしても煙モクモクはおかしいのではないでしょうか。ホテルマンとして潜り込んだ刑事が出入りしたら服や髪に臭いが付きます。一流ホテルマンがタバコの臭いを纏っているってあり得ないのでは。小さなことですが違和感が消えず、読みながらそのことが気になり集中できませんでした。
文学・評論,2015年7月18日,5,最初から最後まで、わくわく感が止まらない。,恥ずかしながら、東野圭吾さんの小説を読むのはこの作品が初めてです。大変読みやすく、かといってライトすぎるわけでもない。まさか、意外な人物が実は･･･というような結末で、ありきたりですが納得はいきました。○○と思っていたのに本当は××だった、という王道的な展開ですが、主人公の新田と山岸のかけあいが非常に面白く読んでいて楽しかったです。低評価の方もいるようですが、自分は強くおすすめします。☆５つ。
文学・評論,2015年3月15日,2,安直な設定の上に、ミステリ的趣向が非常に薄い凡作,"ミステリ的趣向が非常に薄く、作者の意匠が全く不明な凡作。連続殺人事件の4番目の事件がある特定の名門ホテルで起こるという設定が強引かつ安直な上に、そのホテルを警護するために、主人公の刑事がホテルの即席フロント係として配属(?)されるという設定もこれまた安直。主人公の教育係として、バリバリのキャリア・ウーマンがヒロインとして登場するのだが、この二人のコンビを作り出すためだけに、逆算して、事件(物語)の構造を考えたとしか思えないお粗末な創り。主人公とヒロインのキャラクター設定もステレオ・タイプで、最初は反発し合っていた二人が次第に心を通わせて行く過程もありきたり。物語の内容も、刑事の眼と(プロの)フロント係の眼という2つの異なった視座で見た、ホテルを訪れる様々な人々の人間模様の描写が主体(これが作者の意匠なのかも知れないが)で、肝心の事件への興味を掻き立ててくれない。頭が切れる筈の主人公が思い付くアイデアの殆どはヒロインからヒントを貰っているという情けなさ。その肝心な連続殺人事件の構成もお粗末。連続殺人事件の""連鎖""が弱い点には目をつぶるとしても、次の犯行場所を警察に予告する犯人なんて現実にいる筈がない。更に、作者が「x4」と呼ぶ犯人が名門ホテルを犯行場所として予告する(更に、現実にそこで犯行を実行しようとする)なんて、合理性を著しく欠いている。以前の3つの殺人は人目の付かない場所で行なわれ、「x4」の目的は(フェイクではなく)本当に殺人にあるのに、予告通りの名門ホテルで実行を試みるなんて常軌を逸している。ミステリとしてはお粗末、様々な人間模様を楽しむという意味ではそこそこの出来といった所か。"
文学・評論,2016年1月24日,4,職業としてのホテルマン,まだ、読み途中であるが、サスペンス性とドラマ性に関しては、東野さんには他に良作があると思う、ただ、、、68ページから72ページの、ヒロインである尚美が、学生時代にホテルマンという職業に感動するある一日の回顧の一節にしびれた。サスペンスとは関係のないこの一節の、暖かい気持ちにさせてくれるこの小話。また、プロの仕事ってやはり素晴らしいよなー、と、仕事に関する情熱も喚起される。この一節だけでも、大衆文化の素晴らしさにしびれさせてもらえて良かった
文学・評論,2015年10月2日,4,東野圭吾の作品は読み進めやすいなあとあらためて思った。,東野圭吾さんは、読者の心をうまくつかめる力があるんだとあらためて思った。読み始めたら、そのまま引っ張っていく力がある。主人公も、他の登場人物も、とても魅力的。映像化して欲しい。山岸尚美も新田もかっこいい。能勢もいい味。
文学・評論,2013年9月17日,3,ホテルと刑事の組み合わせの妙、東野さんはやはり凄い,"一流ホテルのフロント、山岸尚美はプロのホテルウーマン。「お客様を快適にさせること」その原則に忠実で、かつ冷静で柔軟な接客対応は見事なものです。警視庁捜査一課の刑事新田もまたプロの刑事。眼光紙背そのものといった洞察力と、慧眼を以て、仮説を立て検証して行く。連続殺人事件の潜入捜査のため、新田はホテルのフロントに扮し、山岸尚美がサポートをする。この２人の化学反応がこの作品の肝でしょうか。ホテルマン・ホテルウーマンに求められるもの。「ホテルに来る人々は、お客様という仮面を被っている」「ホテルマンはお客様の姿を想像しつつも、その仮面を尊重しなければなりません、決して剥がそうとしてはなりません。ある意味お客様は、仮面舞踏会を楽しむためにホテルに来ておられるのですから」反対に刑事に求められるものは、その仮面を剥がすこと。作品中、色々な仮面を被った客が現れます。
・チェックアウト後にバスローブがなくなる男性客
・とある男を自分に絶対に近づけないように主張する若い女
・盲目であるにも関わらず、点字を読む時でさえ手袋を外さない老女
・英文をパソコンに入力するよう強要する男
これらの客は、時には、山岸や新田のプロの仕事を見せるための客であり、時には、山岸や新田が更なる成長を成し遂げるための試練ともなります。そして、いくつかの仮面を被った客は、事件の真相に関わっています。ホテルと刑事の組み合わせの妙、東野さんはやはり凄い。"
文学・評論,2014年8月12日,3,テクニックで読ませているだけ,"殺人予告の場となったホテルに潜入した刑事とそのサポート係になったホテルウーマン．2人の前に現れる奇妙な客の数々と，一連の殺人事件の真相は？刑事がホテルスタッフに扮装するという設定のリアリティのなさに目をつむれば，一方の主人公であるホテルウーマンの仕事への真摯な姿勢や，刑事の観察眼の鋭さなど，ホテルという状況をうまく活かしたストーリーではある．事件と無関係そうな奇妙な客にまつわるエピソードのオムニバスのような展開し，ラストでは一気にひっくり返るというあたりは，いかにも東野作品らしい．ただ，全体にキャラクターの描き込みの浅さやテンプレート通りの会話や2人の関係の伸展にはやや物足りなさも感じる．ミステリーとしての真相の隠し方と見せ方がうまいので一気に読めるが，
それ以上の味わいは感じられない．"
文学・評論,2017年12月31日,5,映画公開が待ち遠しい,めっちゃ面白い。映画公開が待ち遠しい。登場人物と映画のキャストがピッタシ！
文学・評論,2017年11月7日,2,本格派とは言えない。第一人者らしくない。,長編の体を成しているが、連作短編のように真相とは関係が無いストーリーも複数話織り交ぜられている。トリックはノックスの十戒や、ヴァン・ダインの二十則に引っ掛かっているような気もする。ターゲットへの殺意にも首を傾げる。ただ、脱線気味のストーリーの中にも、読ませる箇所が散見されたことは、評価に値する。
