ジャンル,投稿日時,星の数,見出し,レビュー全文
文学・評論,2008年12月18日,4,ミステリー作品としてもエンタテイメント作品としても楽しめる,久々に、「ハリー・ポッター」以外の海外の作品を読んだが、とても面白い。キリスト教にまつわる話なので、あまり感情移入ができない分、娯楽作品として読めた本である。暗号の解読や謎の解明、ちりばめられた雑学、そしてキー・ストーンを求める「導師」の正体等、ミステリー作品としてもエンタテイメント作品としても楽しめる良作である。ただ、これらの話がすべて真実だとすると、キリスト教圏の人々にとっては結構衝撃的なないようだなぁ。
文学・評論,2006年6月4日,3,ダ・ヴィンチ・コード(上),"映画化、マスコミの扇情と見事に乗せられ読んでは見たものの、内容的にはわりとありきたりでした。文章的にも間に翻訳が入っているからなのか甘い目に見てもワクワクする部分が少ないというかほぼ無い。
主人公ラングドンシリーズの第2作とのことだが、たまたま題材がよかったから2作目は売れたんじゃないの？と邪推してしまった。しかし、テンプル騎士団、ダ・ヴィンチ、ボッティチェリが聖杯伝説に絡んできたり、聖杯とは・・・だと見解が載っていてインディジョーンズで聖杯ってなんだろうと考えていた私にはそれなりに興味深く読めました。ただ、京極シリーズなど読んでから読むと、文章が平易すぎて３巻に分けていても１日あれば十分読めます。"
文学・評論,2004年7月28日,4,本年度ベストとの声もありますが・・・,"私はそこまでは評価しません。
１．ページターナーとしてのストーリーは◎。読ませる筆力もあり。
２．「謎」のインパクトや奥行きは？　謎を追う過程ではすごいものが待っていると思わせるが、肩透かし。
３．主人公の魅力は？　相方とともに性格や行動特性が描きこまれておらず、好感とか反感を持ちうるレベルには達していない。
４．印象的な描写があるか？　風景描写等がほとんどなく、ほとんど一
晩の事件なのにその時間概念が伝わってこない。夜明けを迎えるシーンには街や空の表情を描き出して欲しかった。
５．読後の感想を他人に話したくなるか？　薀蓄・知識盛りだくさんで
こういう本は楽しい。
以上の理由を総合し、☆４つとしました。"
文学・評論,2004年7月8日,4,ダンブラウンならこの１冊,"Angels and Demons, Deception Point の2冊に先んじてDa　Vinci　Codeの英語版を読みました。結論を先にいえば、Da　Vinci　Codeは３冊のうちではトップの面白さ。これは一重に本作品の基盤である豊富な史実（Templar　Knightsなどのウェブサイトで得たものがほとんどのようだが）が生み出す謎の幅と深さによります。マグダラのマリアと聖杯伝説のくだりは圧巻。この個所を読み返すだけでも十分楽しめますね。ただ、本作品を星５つに評価できない理由は、登場人物のキャラクター描写が紙のごとく薄っぺらいこと。これは他の作品にも共通する点です。ハリウッドお得意の場面展開の早いアクションスリラーを小説にしたような作品とでも言いましょうか。いずれ映画になるのではないか、と思います。"
文学・評論,2005年6月7日,5,キリスト教、ダ・ヴィンチ・・・,「世界を不眠に陥れた本」という前評判を聞いて読みましたが確かにそれだけの迫力がある著作のように思えます。しかし万人受けするといった印象の本ではないのではないでしょうか。それはキリスト教やダ・ヴィンチの説明は日本人にはなじみの薄いものであるように思えたからです。私はキリスト教について、学校で学んだ経験があるので、目を見張る内容ばかりでしたが、もし学んでいなかったとすると、そこまでは楽しめなかったような気もします。私にとっては本当に文句なしに面白かった。作者の知識は、物語をフィクションかそうでないかと思わせる程、よく調べてあるものだなと感心させられました。特にダ・ヴィンチについての記述は、どれも興味深いもので『モナ・リザ』くらいしか知らない自分にとって、絵画の世界へ誘われた気持ちがします。キリスト教や、ダ・ヴィンチの色々な側面がどこまで本当のことかはわかりませんが、次々に場面が展開してゆく度に驚かされました。犯人とそれを解決しようとする主人公の２通りでの展開も、本から目を話させないことに一役買っていると思います。後半ではどのような展開が待っているのでしょうか。ダ・ヴィンチとダン・ブラウン二人の天才がつくった迷路に迷わされているような気分で読み進めてゆきたいと思います。
文学・評論,2004年9月11日,4,エンターテイメントとしてのキリスト教観,のっけから知的好奇心をかきたてるアカデミックな匂いのする小説である。なにせルーブルの中で館長が殺され、ダ・ヴィンチのサインを読み取るところから謎はスタートするのだ。ボリュームは多いが（というより本が重いのかも）息を付く暇もなく、一気に読ませるストーリーテラーはウマイとしかいいようがない。キーとなるヒントもその知的好奇心を最後まで抱き続けるに十分な要素の連続であった。読後にはそれぞれのヒントをさらに別途探求していこうという気になってしまう。いうまでもなくキリスト教に対する捉え方は信者であるかどうかでは大きく異なる。聖杯伝説をおりまぜながら、多少なりとも生理的に抵抗したくなるような大胆な仮説でキリスト教を扱っていく。エンターテイメントとして読むか、敬虔な信者として読むかではかなり異なった受け取り方となるだろう。映画【サイン】で感じた信仰を持たぬもとして抱いた違和感と同様なものを感じた。
文学・評論,2006年9月18日,4,五芒星,ルーブル美術館の館長が、殺された。殺される前に、自分をダ・ヴィンチの描いた人体図に見立て、暗号を書き記してから、息絶えていた。宗教象徴学専門のロバート・ラングドン大学教授は面会の約束をとっていたために事件に巻き込まれる。ルーブル美術館の様子や、宗教画の隠れた意味の存在など、読むと「知らなかった！」と感嘆する内容が沢山盛り込まれています。映画をみるような、展開で面白く読めます。主役の大学教授は奥ゆかしい性格で、読みやすい本でした。
文学・評論,2006年3月26日,4,2つの魅力,この作品に関する大きな魅力が2つある。1つ目は現世のサスペンス・スリラー。ラングドンと彼の協力者であるソフィー・ヌヴーは「誰が」ソニエールを殺し、「なぜ」殺されたのか推理する。そして彼が何か秘密を持っていた為に殺された事に気づく。その内容について探ろうとするのだが、様々な障害が立ちふさがる。それらを乗り越え、かわしていく様に読者はドキドキさせられる。話の引っ張り方が巧みで、読者を惹きつける。ただイライラさせられる部分もある。例えば「この局面を打開するには○○すればいいだろうな」と思っても、登場人物がやけにモタモタしていたり、「さあ、絶体絶命のピンチであります。ラングドンはこの危機をいかに乗り越えるのでありましょうか」と、紙芝居のようにもったいぶるシーンが時々見られる。さっさと話を進めて欲しい。また登場人物が少ない為に、犯人がわかりやすい。途中で「まずコイツだろうな」と気づく方が多いだろう。全体的にテンポはいいのだが、ストーリーを無理矢理ハッピーエンドにまとめている印象を受ける。ラングドン達が追いかける秘密とは、キリスト教に関する事。「ローマ・カトリックが主張している事、新約聖書に書いてある事は事実ではない。かつて闇に葬り去られた幾多の真実があり、今でも失われていないものが存在する」…と、いう論調で記されている。これが本書の2つ目の魅力歴史のミステリー。登場人物達は絵画・宗教・象徴・暗号学を用いてその謎に挑む。そして謎を解く鍵の1つが、題名にも含まれたレオナルド・ダ・ヴィンチの作品である。「【モナ・リザ】や【最後の晩餐（ばんさん）】といった誰もが知っている絵には、隠された意味がある」と本書は主張している。他にも多くの芸術作品が取り上げていて、作品中には薀蓄（うんちく）が溢れている。「緊迫した場面でよくもそんなに喋るな」という事くらい、登場人物が語る。そういった情報もまたこの作品の魅力だが、歴史や美術について基礎知識のない人は楽しみが制限される気がする。
文学・評論,2004年9月11日,3,聖杯伝説の謎を追う。,象徴学者のラングドンと暗号解読者のソフィーは、ソフィーの祖父殺害事件の容疑者として警察に追い掛けられながらも、聖杯伝説の謎を追い求めるという筋立て。聖杯とキリストに関する蘊蓄話がたっぷりと詰め込まれているが全然くどさを感じさせないので、非常に読みやすい。越前氏の翻訳の良さもあるのだろう。虚実織り交ぜの怒涛の展開の最後の意外な結末には、してやられたと思ってしまった。脱帽あるのみである。しかし、豊富な蘊蓄話と聖杯の謎解きという肉付けを別にすると、ミステリー（逃亡劇と意外な真犯人）としての筋立て自体は、それほど手の込んだものではなく、ごく有り触れた陳腐なもののようにも思う。この点、前作の「天使と悪魔」の方が、筋立て自体も非常に手が込んでいて面白かった。
文学・評論,2004年11月8日,4,総合点としたらOKか?,巻頭からリズムよく小気味よく進み、その勢いのまま最後まで読破することはできるでしょう。歴史的な知識が必要な部分もあるので、その点でひっかかってしまう人もいるかと。皆さんの評価にもあるとおり、落ちのつけ方が多々疑問。せっかくここまで頑張ったのに…残念！２４H斬り！...なんて。そう、このリズム感は２４なんだなぁ～確かめてないけど、２４Hの間（か、1日半くらいかな）に、完遂してる話...でしたよね？ただ、前半の勢いで完読できる、ということで総合点で★４つ。
文学・評論,2005年1月29日,4,キリスト教文化の奥深さ,ミステリーとしての出来映えとしては　決して今日の大ブームを呼ぶほどではないというのが第一印象である。これは　例えば　本書と比較しやすい「薔薇の名前」はミステリーとしても　相当の作品である点と比べると　凡庸とさえ言っても良いかもしれない。但しキリスト教の扱いの手法は　ずば抜けていると評価せざるを得ないと思う。この作品を読んでいて　例えば映画のインディージョーンズ３部作中の２作迄が　聖櫃や聖杯を扱っていることが初めて理解出来た気がした。欧米ではキリスト教をめぐるミステリーは　今尚現実的な面白さを持っているということが目から鱗が落ちる思いで理解した。欧米において　キリスト教が人々に与えている影響は　我々日本人の理解を絶している部分があるのであろう。そういう意味で　（キリスト教徒の方は別かもしれないが）　我々には　本書は理解することは実は難しいのかもしれないが　それでも　これだけ面白い。ある意味で　個人的には大変勉強になった。　
文学・評論,2004年12月7日,4,フィクション?ノンフィクション?,私はキリスト教徒ではありませんが、キリスト教徒でないから余計に面白かったのかもしれません。キリストの人間的な面、聖書の矛盾やコンスタンティヌスの話などキリスト教にまつわる様々な薀蓄が非常に面白く、キリスト教に対する信仰心とは違った興味や、何よりもルーヴルに対する興味は非常に強く沸きました。『ダヴィンチ・コード』というタイトルにあるほどレオナルド・ダ・ヴィンチ自身や作品の謎に迫っていなかったのと、後半かなり推理小説の色合いが強くなりすぎているのが残念ですが、内容が内容だけに仕方ないのかもしれません。上・下巻、ほとんど寝ずに一気に読み終えさせる。そんな力のある作品です。著者の次回作には大いに期待したいですね。
文学・評論,2005年5月4日,4,教養書としての価値があります,あまりに長くベストセラーを続けているので、ＧＷを利用して読みました。こういうベストセラーは文庫になってから読む事が多いのですが、これもそうすれば良かったと後悔してます。これだけ売れてるのですから「面白くないわけがない」のは間違いありません。一気に読める程度は面白かったです。ミステリーとしては三流です。英語の暗号や言葉遊び中心の謎ですから日本語で読んでも感動は薄いです。人物描写も主人公の２人以外はステロタイプですし、犯人当てとしての厳格さもありません。「聖杯の謎」こそが最初から最後まで一貫したプロットになっていますが、竜頭蛇尾の感はぬぐえません。ただ、この中で出てくる秘密結社や儀式について嘘がないというのは驚きです。ここまで売れたのですから、今後出てくるキリスト教関係の映画や小説は、この本の内容を下地として展開される可能性があります。一種の教養書として読む必要はあるでしょう。
文学・評論,2005年1月31日,4,ノリで読め!とか言ってみます,本書を読んで、もう何年も前になるが新婚旅行で行ったルーブル美術館の事を思い出した。世界的にもメジャーなロケーションであるし、ああ、あそこはあ～だったなあ～なんていいながら読む読者も多いだろうし、そういう意味でも楽しめました。ストーリーは練りこんであるといえばそうでもない気がするし、ちょっとご都合主義ではないかい？っという突っ込みもはいるが、映画化前提（あとで決まったのか本当に？）だと思えば、２時間から３時間くらいで収まりそうで納得。純然たるエンターテイメント作品として読めばとても楽しく読めました。しいて苦言を呈するならばもうちょっと値段は抑え目にしてほしかったです。ハリポタ商法というわけでもなかろうに、、、。買うまでにずいぶん決心がいりました（涙）
文学・評論,2006年12月10日,3,歴史の本,"ルーヴル美術館館長が殺害された。死に際、自らの体を使ってダイイングメッセージを残した。館長の孫ソフィーとその知人ロバートが謎を探る！ってなわけで、今映画上映されてる話題の作品の上巻です。
オカルト、エジプト、ダ・ヴィンチにちょろっとでも興味がある人なら、誰でも知ってるような内容が前半はつらつらと書いてあります。順番にテンポよく説明されているので、楽しく読めます。暗号ですが、アナグラムは知ってても、日本語以外はわからないので、あんまり「おぉ！」と思えないのが切ないですｗフランス語と英語が話せる人なら、もっと面白く読めるのかも。なので、上巻は本編そっちのけで、謎解きとかミステリーじゃなく、歴史の本みたいな感じで読んでしまいました"
文学・評論,2005年4月12日,4,意外に読みやすい,単行本上下巻、しかもなんとなく難しそうな雰囲気・・・と思いきや、意外に読みやすく一気に読めました。人によって言いたいことは様々でしょうけれど、私は結構楽しめました。モナリザの秘密・・・最近はよくテレビ番組等でも取り上げられていますが、この本が出る前にそれを知っていた日本人がどれだけいたか？特に今は本を読まない人が増えてますし、知らない事が知識不足・・・といえばそれまでかもしれませんが、色んな意味で興味の入り口になるこの本はいいきっかけになるのでは。特にキリスト教信者ではない私達から見ると、変な偏りのない目でみれてかえっていいかもしれない。象徴学やキリスト教の歴史や秘密結社その他、（特にこのような事柄に興味がない）一般の人の興味を煽りつつ、彼らが理解できる程度におさえて、物語にうまく織り込んでいると思う。物語にそぐわないような軽さを感じるところも何箇所かありましたが、そこまで気になりませんでした。しかし、暗号をといていくたびにそれがどんどん簡単になっていくような気がしたのは残念。読んで損はありませんが、価格も高いので待てる方なら図書館利用もありと思います。私も読書の虫の父が買ったのを読んだので、家になかったら単行本２冊計４０００円、買ったかというと微妙で、文庫本出るまで待ったかもしれないし。本自体は単行本の割に、ペーパーバックのように軽いです。最近嵩高紙が使われてる本が多くなって持ち歩きしやすくてよいですね。
文学・評論,2006年8月23日,3,ミステリーよりエンターテイメントとして。,文体に慣れるまでがちょっと苦痛でしたが、その後は一気にすらすらと読めました。ミステリー部分は叙述トリックみたいなものはなく、それほど難解ではありませんので、謎解きに期待せず素直にエンターテイメントとして読んだ方が楽しめます。事実に基づいて書かれている、と著者は言っていますが、キリスト教関連の知識がない私にとっては、どこまでが事実でどこからがフィクションか全く分かりませんでした。この点でも事実に拘らず、楽しんで読めば良いのかな、と思いました。ストーリー本編よりも、キリスト教や象徴学に関するくだりが結構面白いので、ちょっと勉強してみようかな、という気分になること請け合いです。お薦めするほどではありませんが、流行りものが好きで、時間がある方は読んでも損はないと思います。
文学・評論,2005年5月9日,5,ミステリーの傑作!,キリスト教にまつわる話で、日本人にはなじみが薄い話かもしれません。しかし、そこに書かれている謎解きの面白さ、それは読者をうならせます。そして、追われているという状況は、読者に緊迫感を与えます。壮大なキリストの歴史、そしてそこに隠された意外な真実。たとえ信者でなくても、その真実を知りたいと切実に思うに違いありません。真実を一番本当に知りたいのは誰なのか？二転三転する状況の中、読み始めたら絶対に本から目が離せなくなります。「ダ・ヴィンチは本当に自分の絵に暗号を描きこんだのだろうか？」キリストをめぐるミステリー。その謎が解き明かされるときが本当に来るのかどうか、考えると何だかわくわくしてきます。
文学・評論,2005年6月28日,5,終わりまで一気!i読めます,"発売から大分経ってから購入しました。単行本は持ち運び不便なので文庫化まで待つか？と思っていたのですが、我慢し切れませんでした。冒頭に「本書に登場する組織etcはすべて実在です」という意味深な警句がでており、読者を『秘密』感にいざないます。そしてその言葉通り、最初から歴史・組織の説明がかなり入っていますが、物語の進行に非常にうまく挿入されているため、ダレた感じは一度も受けませんんでした。それよりも「おいおい、いったいどうなるの？」といった感じでページをめくってしまいます。
そして上巻のラストは物語のキーマンの台詞で終わるのですが、「ええ！こんなこと明かしておいて上巻を終わらせるの！」といった気分で満載でした。思わず下巻を買いに深夜営業の本屋さんに走ってしまった。冒頭から終わりまで、ものすごいテンポが良いので、思わず一気に読んでしまうこと請け合いです。"
文学・評論,2006年7月31日,5,面白い!,これを大絶賛してしまう人というのは、もともと聖書とか、テンプル騎士団とかいったネタが大好きな人だと思います。そういう人は「よくぞやってくれました！」と拍手喝采してしまうのでは。本書の場合、物語の稚拙さを指摘されることがありますが、そんなことは置いといて、これをやったことに重要な意味を見出すわけです。でも、そんなディープな人でなくっても十分に楽しめると思う。物語もスリリングだし。歴史(じゃなくてもいい）の謎をめぐって、想像の羽を伸ばせるなら誰にでもオススメできる小説です。
文学・評論,2004年7月22日,4,ううむ・・・。,期待を裏切らない内容でした。物語を盛り上げる小道具として使われる、筆者の美術史や秘密結社についての、怪しげで好奇心をそそる薀蓄に驚かされっぱなしです。主人公をそちらの方面のエキスパートとして描いても嘘臭くないのは、やはり作者一流の知識量のためでしょう。ミステリーとしても、ハリウッド映画的冒険活劇としても楽しませてくれる本です。ただし、欲を言うならば、人物描写が甘い。主人公二人の「人間的な部分」――性格やら嗜好やらについての描写が、膨大な薀蓄に比べて少な過ぎます。物語を引っ張っていくには存在感が薄薄い。主人公に感情移入して読むタイプのヒトにはおすすめできません。明らかに映画化を意識して書いた作と思われますが、最後まで飽きずに読ませてくれたので、星四つ。実際映画化したら、それなりにウケそうだな…。
文学・評論,2006年2月15日,5,種明かしが広まらないうちに・・・,ハリソン・フォード風の主人公（そのように書かれています）、英語を話すフランス美人の暗号学者、しかもシリーズの内の一作というだけで「またまた似たような」と読む気が失せかけましたが、序盤の方でオリンピックの開催周期と金星の関係の話が出てくるに及んでむむっと唸らされ、あれよあれよと読まされてしまい満足でした。映画的なスリルもさることながら、やはり今まで隠れていたような知識（作者のでっち上げではない）が次々とアクションの最中に繰り出されてくるところが類書（宗教サスペンスの類）を圧倒的に引き離しています。文庫化され映画もまもなく公開されるということで、種明かしが広まらないうちに読まれることを勧めます。もう広まっているかもしれませんが、それでも楽しめる構成です。
文学・評論,2004年11月2日,5,ある意味「コストパフォーマンスの悪い」本,売れに売れているらしいが、実際に読んでみると、それだけの価値がある。殺人事件からスタートする謎解きミステリーなのだが、主人公が警察と殺人者から追われる様子にハラハラドキドキ。次から次へと謎が繰り出され、一つ謎が解けると、また別の謎が現れる。おまけに、その謎解きの一つひとつが西洋史に関する「へ～」の連続。ひとつ間違えば「トンデモ本」の世界に迷い込みそうな内容なのだが、「この小説における芸術作品、建築物、文書、秘密儀式に関する記述は、すべて事実に基づいている」という裏付けがあるそうなので、2000年の歴史を覆すような内容が「ひょっとしたら事実かもしれない」と感じられる。キリスト教の根幹を揺るがし、ヨーロッパの歴史を塗り替えた巨大な謎とは！……ミステリーの謎解きを公開するのはご法度なので、内容紹介はしない。上・下巻あわせて600ページ以上もあるのに、それこそアッという間に読み終わってしまう。4000円近く投じてもすぐ読み終わってしまうので、ある意味「コストパフォーマンスの悪い」本である。（これは、もちろん褒め言葉です）内容にグイグイ引きこまれ、読んだあとで「あ～、おもしろかった」とやっと息をつけるような本には、なかなか出会うことができないもの。とても貴重な本である。内容はこれ以上紹介できないので、ひとつだけ関連本として佐藤賢一の『カルチェ・ラタン』を挙げておく。中世パリの大学を舞台にしたこの小説には、“学寮”ごとに神学を深めていく様子が描かれており、その中から様々な結社が作られていく。はるばる日本まで伝道の旅をしたザビエル達がイエズス会を結成する場面もあるが、なかには“異端”に通じるようないかがわしい秘密結社も登場する。本書『ダ・ヴィンチ・コード』にも秘密結社が登場するが、その創成期の雰囲気が読み取れ、もちろん内容も期待できるオススメ本である。
文学・評論,2006年4月3日,4,惹き込まれました,小説は読みつけないとテンポに乗るまで時間がかかるが、『ダ・ヴィンチ・コード』は最初の数ページで完全に惹き込まれた。まだ上巻しか読んでいないが、続きを読むのが凄く楽しみ。ルーブル美術館を初め、実在の場所や絵画をモチーフにしたストーリーである為、「そういえばルーブルにダヴィンチの絵があったな」と感慨に耽りながら読んだ。キリスト教や絵画について詳しくなくても面白く読めるが、知識があればもっと違う視点から読めるだろうという点は、自分の中で少し残念。西欧色の強い文学を理解するには、根底にあるキリスト教文化の素養が無いと難しいかもしれない。そういった事情を差し引いても、十分楽しめる作品ではある。お勧め。
文学・評論,2006年6月10日,5,異端児的小説!,宗教とは世界中の多くの人が生きていく上で必要不可欠なものです。でも、宗教は時として人の足枷になったり、争いの素になったりします…それは、宗教があまりにも人間の根本的な部分に関わるもののため、解釈に柔軟性を持たせるということがなかなかできないからという面もあるのではないでしょうか？本書はそんな宗教の既存の枠を打ち破る要素満載です！私は違う考え方や見方を門前払いするのではなく、とりあえず受け入れてみるべきだと考えています。その上で、自分の考え方や見方が良いと思ったのならそのままで良いし、新しい方に良いと思う要素があるならそれを盗んじゃえば良いのです。いろいろな考え方や見方から「折衷」して、広い視野でより良い人生を歩むためにも、本書のような異端児的小説を読むのもおもしろいかと思います。
文学・評論,2007年1月7日,5,背景知識がなくても楽しめました,キリスト教や絵画などにあまりなじみがないのでどうかな…と思っていましたが、親戚に薦められて読んでみました。専門的なことについては本文中で説明されているので、背景知識がなくても特に困りませんでした。もちろん、そうした知識をお持ちの方はまた別の楽しみ方ができると思いますが…どこまでが事実なのかはわかりませんが、読み物としては面白かったです。宗教や歴史用語に抵抗がない方にはおススメです。
文学・評論,2006年3月24日,5,歴史ミステリー+暗号ミステリー,レオナルド・ダ・ヴィンチの作品に隠された謎や、シオン修道会やテンプル騎士団絡みの聖杯伝説については、何作か読んだことがあり、ある程度の知識はあったのだが、それでも尚かつ非常に面白く読むことが出来た。形としては、殺人容疑をかけられたラングトンを探偵役とした歴史ミステリーである。ただそれだけではなく、そこに満載された暗号の数々は、暗号ミステリーの好きな人には堪らない作品になっている。最終的な事件の黒幕も結構意外性があり、十分に楽しめるミステリー作品だろう。キリスト教関係の知識がないと、やや苦しいかもしれないが、結構丁寧に説明されているので、大丈夫だろうと思う。もうじき公開される映画については、こうしたキリスト教の知識や、暗号の謎解きなどの面で、逆に難しそうな気がするのだが･･･。
文学・評論,2007年12月5日,2,キリスト教の知識がないと読んでもハァ?です。,話題になっていたので読んでみたのですが、話題になるほど面白くはなかった。まず、キリスト教の知識がないため、背景がよくわからない。大した暗号でもないところで、非常に頭を悩ます。一方、非常に難解と思われる暗号があっという間に解けてしまう。ちょっとご都合主義な感じがします。ただ、ダ・ヴィンチ作「最後の晩餐」に関する発想等は面白い箇所もあります。5月頃、映画が公開になるようですが、どうでしょうかねぇ。
文学・評論,2004年10月4日,5,映画化に最適,長編だし難しそうだし･･･と手に取るのをためらってしまっているアナタ！この本は最初から最後まで活劇調で、読むのはとても楽チンです。しかも主人公たちは妙齢の美男美女。他にも、とてつもない億万長者の歴史オタクや、いつも不機嫌な捜査官など、かなり頭に入りやすい登場人物ばかりなどでかなり映画的です。黒幕は誰か･･･というのも想像できる範囲内なので、そんなに頭は使わずに済みます。私は一晩で読んでしまいました。しかし、ダ・ヴィンチの描いた絵画たちにこんな暗号が隠されていたなんて！っという衝撃を味わえたのは最高に楽しかったです。今度ルーブル美術館に行くときは、きっと前とは違う見方をしてしまうだろうなー。暫し知的な現実逃避に浸るには、最高の一冊です。
文学・評論,2006年8月2日,4,エコノミークラスでの長旅のお供に,世界中でベストセラーになっていることに納得、面白い。次の展開が気になって、止められない止まらない。特にこれからフランスに旅行に行く人には最適だ。辛いエコノミークラスでの長旅も、この本を読んでいればあっと言う間に時間が過ぎ去ってしまうし、ルーブル美術館を見学する楽しみも増えること請け合い。ただし、到着までに読み終えられなくて、現地で観光もそこそこに読みふけってしまうことには注意。謎解き、急な展開、深すぎず浅すぎずの登場人物、適度にちりばめられたキリスト教や絵画に関する薀蓄など、これらが実にうまくブレンドされており、全く飽きさせない。ただし、この本の魅力はあくまで「バランスの良さ」であって、謎解きなどの項目ひとつひとつに対して深いものを求めるのは酷。語られる薀蓄は「事実に基づいている」と前書きに書いてあるが、全てを真に受けてはいけない。それでもなお、面白く読んで適度な薀蓄を得るためには最高レベルの本だろう。それにしても、キリスト教特にカトリックのタブーに踏み込んでいるようにも思うが、(イスラム教でそれをやった場合に比べれば)反発はあまり聞こえてこない。キリスト教の「ものわかりのよさ」に、感心してしまっているのだが
文学・評論,2006年5月2日,5,翻訳作品の苦しさがない,翻訳作品には読みにくさがあって中々思い切れなかったのですが、知人のすすめもあり購入しました。そんな心配は無用です。翻訳の違和感は感じさせません。やはり売れている本だけあって、おもしろい。作品のテンポのよさにも注目です。あっというまに三冊読み終えてしまうでしょう。中身と歴史的考証の部分にはコメントは差し控えるというか、私にはその知識が皆無ですのでわかりませんが、そういった部門を掘り下げてきたいという欲求は持ちました。本書によって、新たな知識探求の題材が増えた人も大勢いらしゃるのではないでしょうか。そういった意味でも、推理小説としても楽しめます。良書だと思います。
文学・評論,2005年5月2日,2,それなりに楽しめたが,～ちょうど文学として聖書を読んでいたところだったので、興味を持ち購入しました。それなりに楽しめましたけど、皆さん仰っていますが上巻はワクワクしながら読み進むことができたのに対し、下巻は章を追うごとに勢いがしぼんでいく…。やはり私も登場人物の設定をうまく活かしきれていないと感じました。元々私がこの小説に求めていたのは「（真偽はとも～～かく）聖杯伝説の歴史ロマンに思いを馳せる」ことであって「物語」的な完成度は特に期待していませんでしたので、長すぎるウンチクだとかは素直に楽しめたクチなんですが（笑）、その分中途半端なストーリーが気になって（癇に障って？）ウンチクにも物語にもどちらにも集中できなかったー。それならそれで「レンヌ＝ル＝シャトーの謎」一冊を買えば良かっ～～たなーとちょっと後悔しております。ダ・ヴィンチ・コード上下巻合わせると同じくらいの値段ですしね…。（まあ、「レンヌ＝ル＝シャトーの謎」の存在は読後に知ったのですけど。）～
文学・評論,2006年6月29日,5,浮かび上がる歴史の影,"ダン・ブラウンのベストセラー小説『ダ・ヴィンチ・コード』の上巻。キリスト教の存在意義を問うた話題作。ある日殺害されたルーブル美術館の館長、その殺人の容疑で追われるロバートラングドンと館長の娘ソフィーは、館長が残した奇妙な暗号を解読して行く過程で少しずつキリスト教の隠されたベールを剥がし始めた。館長が残した幾重にも重なる暗号の正体と、見え始めたシオン修道会の影。物語序盤の、軽快で論理的な展開は、時間さえも忘れさせてくれるだろう。主張と史実が必ずしも一致していないという批判もある様だが、物語の論理展開、歴史評価、などなどは見事というより他ない。特別、宗教、特にキリスト教に対する思い入れが少ない日本人にとっては、却って客観的に物語を眺める事が出来るだろう。この小説は、決して歴史書ではないし、暗号書でもないのだが、そうしたエッセンスを十分に盛り込みつつ、一つの物語として完成させている。ミステリーで時々御目に掛かる暗号の数々。それらは概して、必然性の薄い（他に幾らでも解釈があったり、不自然であったりする）場合が多いが、この『ダ・ヴィンチ・コード』に登場する暗号達は、人文的にも数理的にも非常に精巧に作られた論理的な暗号である。ゆえに、物語に登場する暗号の数々が一本の糸で結ばれた時、その美しさに思わず恍惚さえ覚えてしまう。
ところで、実に緻密に計算された見事な名作であるが、唯一難癖を付けるとすれば、このタイトル。da Vinciの名前を冠する程、内容はLeonardo da Vinci自身に深く関わるものではない。勿論、""最後の晩餐""に秘められた真実は物語の重要な要素ではあるが、物語の主題は決してda Vinci自身に委ねられている訳ではないし、況して""モナ・リザ""の解釈などはこの物語の本質とは殆ど接点が無い。本の表紙に""モナ・リザ""を使用するのは、少し食い違いがある様に思われる。"
文学・評論,2004年9月22日,3,弱い人物造形、あるのは蘊蓄だけ,翻訳の問題なのかもしれないが、人物たちの奥行きがない。ミステリの部分はそれなりに最後までドキドキしながら一気に読んだ。ストーリーは、うーん、よく出来てるなぁと思った。でも、あとに残らない。どこが良かったとも言えない。膨大なウンチクも、私にはあまり魅力的ではなかった。ダ・ヴィンチの絵画の解釈がもっといっぱい登場すると思ってたけどほんの少ししかなかったし。キリスト教の暗黒部としては弱いし。キリスト教の起源と思われたものが、実は異教のものだということが延々語られるが。どれも、他の本でも読んだことだった。なんか、必要のないところまでウンチクばかりで、雑学のツギハギという感じだった。くだらない。ディズニーアニメにまで、蘊蓄の風呂敷を広げることはないと思う。たしかに、聖杯については、いろいろ書いてあって、面白かったけど。そして、弱いのは人物たちの造形。ソフィーにしてもラングドンにしてもコレやシラスにしても、どうにも現実味がなくて、人間味が薄く、魅力がない。都合に合わせて解説めいたセリフを話していくだけ。ストーリーのために動いている感じが、最後まであった。犯人がやりたかったことも、イマイチわからん。原語で読めばもっと面白いのだろうか？
文学・評論,2007年3月27日,3,普通のエンターテイメント,聖杯をめぐる壮大な物語と思ったのだが、ふつうの謎解き。ダヴィンチの絵の解釈や聖杯を探すためのクリプテックスの解読等そんなに斬新なものとは感じられなかった。ちょっと拍子抜けの感じ。場面の展開は、映画化されるのを意識して書いたのではないかと思われるくらい描写が軽い。ある意味分かりやすい展開で、ぐんぐんと読ませる感じではある。でもそんなに感動的な場面は無かった。映画を見てみたいとは思う。
