ジャンル,投稿日時,星の数,見出し,レビュー全文,ネタバレに該当する部分
,,3,"身構えずに読んで楽しもう
","二人の行く末が気になる、という点で恋愛小説としても自分は楽しめました。
物語の仕掛けも面白かったです。
ただ、叙述トリックものだということを堂々と宣伝すると身構えて読んじゃうので、あおり文が逆効果だと思いました。
イニシエーション・ラブというテーマがちょうど自分の状況と重なって感慨深かったので、失恋した人に読んでほしいです。",
,,1,"時間を損した
","こんなくそつまらない本を読まされた！
時間の無駄

確かに最後えっ？と思って前を読み返した。
まあそれだけ。そのためだけに全く面白くもない本を読まされた感がすごい。
この作者の本二度と買わない",
,,5,"これはミステリー
","　「鈴木，何か性格変わったな」とか「これはいったいどういう落ちが付くのか」と思いつつ，
ずんずん読んでいきました。

　最後の2ページで「？何か違う？」感が増大し，最後の2行で「違ってる！」…やられましたな。
知らずに読み流した部分を再確認せねばならない気持ちでいっぱいです。

　時間の経過とともに，「あれも？あれも？伏線だった？」と気付く。
これ､気付かない人は全然気付かないと思う。

　これから読む人は，気をつけてね。",鈴木
,,2,"過大評価
","積みっぱなしだったのをようやく読みました。
叙述トリックを柱にすえた作品だと知っていましたが、知らなかったとしても評価は変わらなかったでしょう。

つまらない。

この一言につきます。
元々恋愛ものに興味がないのですが、それにしたってあまりにも退屈な話です。
どうでもいい話がだらだらと書きつづられ、しかも読んでいる最中に伏線だとわかってしまう描写がちらほらと。
終盤に差し掛かるともうオチが読めしまって、最後の二行でネタバラシされても何をわかりきったことを、としか言えません。

仕掛けのための物語でありながらその仕掛けがつまらないという、典型的な失敗作だと思います。
テレビなどで紹介されて売れたようですが、何十万部も売れていい作品ではないでしょう。
媒体を問わず、この本より遥かに優れた叙述トリックを用いた作品があるので、そちらをあたった方が有意義です。",
,,4,"もう一度読まねば
",ありきたりですが、最後の最後にやられました。もう一度読み直して改めて堪能しようと思います。,
,,2,"うーん
","最初は面白そうと思ったけど、つまらない描写がただ流しされてる感じなので途中から呆れてきて、これなら斜め読みしても差し支えないだろうとラストまで斜め読みしました。
ラストはsideBを読んでいる途中からわかってきてしまったので、なるほどやっぱりかと思っただけでした。
面白くない文章を二度読みなんて真っ平ごめんです。",
,,1,"最悪
","話題になり
映画化されたので
ワクワクして購入した
最悪のレベル
全く良いところがない作品
買わなきゃ良かった",
,,4,"結局2度読みするはめに。
","サイドＢから、たしかに違和感は感じる。
しかし、結果的に二度読む羽目にはなる。自分の出した答絵に、自信があっても、やはり、もう一回読まないと、気がすまない、
……というふうに、出来ているんですこの作品は。
で、もう一度読むと、確かに、繭子が、最初から明らかに違って見えます。そうかぁ、彼女がたっくんに一番最初にした質問が「鈴木さん、鈴木さん、下の名前なんていうの」だった。女は怖い。再読するとＡ－５の「愛のメモリー」がやけに、いやらしく見えてきます。","繭子
鈴木
たっくん"
,,5,"1980年代に青春を過ごした人は必読
","何の予備知識も持たないで読んでほしい。
半日あれば読めます。
80年代の歌謡曲を聴きながら。",
,,5,"ヤバイ、ヤバイ
",最後から二つめのセリフ」を期待し、チープな青春ラブストーリーをなんとか最後まで読む。最後のセリフに？？？10分間頭の中がぐるぐるまわり、ヤバイ、ヤバイ！と声にだしてしまった。本当に2回読むことになるとは、すごい小説である。どんな手法で映画化するのかそれも楽しみである。,
,,1,"すみません、期待外れでした…
","普段レビューを書くことがあまりなく、たまに書いても★5つがほとんどの私ですが、今回ばかりは★1つです…以下、辛口コメントすみません。
湊かなえの「リバース」を読み、読了後の衝撃が忘れられず、似たような作品がないか探し、こちらの作品にたどり着きました。
が、リバースとは似ても似つかない内容でした…他の方が書いてる通り、稚拙な文章で男女の恋愛話が延々続くだけで、そこには何の面白みもなく、読み続けるのが本当に苦痛でした。
私は活字中毒かというぐらい本が大好きで、どんな本でも大概は読みながらドキドキしたりワクワクしたり、次はどうなるんだろうとか想像しながらどんどん読み進めていくのですが、この作品に関してはそれがまったくありませんでした。
二度読みたくなる、というキャッチコピーは、面白くて二度読みたくなるのでははなく、文章に隠れている仕掛けを確認するために二度読みたくなる、という意味だったんですね。
それを踏まえた上でも、やはり二度も読みたくはないです…ごめんなさい。
仕掛けと言っても、ビックリしたり感心したりするレベルのものではなく、ただ単に「あぁ…まぁそうだろうね…」という感じで、残念ながら何の驚きもありませんでした。
なぜこの本が売れているのか、さっぱり分かりません…。
いわゆる「仕掛け」は２つあるのですが、１つだけしか気づいてないのでは？と思われるレビューの書き方をされている方もチラホラおられます。
読み終えて、２つの仕掛けに気づかなかった方は、『ゴンザの園』というサイトを検索して見ると分かりやすいと思います。
ご参考までに…",
,,1,"期待はずれ
","正直別にさして面白いとも…まして2回も読みたいとは微塵も思えませんでした。
ミステリー要素も別に…",
,,4,"遂に読みました…
","「最後から二行目で、本書は全く違った物語に変貌する」－－
という、裏表紙の宣伝文句に以前から気になっていた作品ですが、
遂に読みました。

舞台は静岡。青春の只中にいる僕は、
合コンで成岡繭子、通称マユという女性と知り合います。
やがて、二人は恋に落ちて…という物語。
作品を彩るのは、80年代へのノスタルジーを感じさせる設定。
各章の名称には、当時のヒット曲が名を連ねているし、
本文中にも80年代のテレビドラマなどの
時代風俗が巧く織り込まれています。

この作品、確かに読んでいくと、
恋の経験浅き男女のほろ苦い
ラブ・ストーリーという体裁で綴られています。

さて、肝心の「最後の二行」ですが…。
正直なところ、いろいろな趣向が凝らされている
現代ミステリ群の中にあっては、
勘のいい読者は気づいてしまうのではないか、という印象を受けました。

ただ、この作品の面白いところは、
その「最後の二行」が分かったときに浮かび上がる
新しい「物語の構図」です。
しかしながら、残念なのは、その作者の意図が
読者に誤って伝わってしまう場合があるかも、
というところ。
かく言う私も、いくつかの解釈が思い浮かんで、
「ネタバレ」のサイトで確認してみたというのが実態です。

しかし、作者の意図する「物語の構図」を正しく理解すると、
なるほどなと思わせるものがあります。
恋模様を巡る人間の心理と行動が
巧みに織り込まれているのが分かるからです。
こうした裏に秘めた事柄が、
最後に浮かびあがってくるというのは、
正にミステリならではの手法と言えるのではないでしょうか。

作中、優れた「恋愛ミステリ」を執筆している推理作家の
「連城三紀彦」と「泡坂妻夫」の名前が出てきます。
新しい「恋愛ミステリ」の傑作を、
というのが作者の目論見だとすれば、
その目論見は、十分に成功している作品なのではないかと思いました。","成岡繭子
マユ"
,,3,"どんでん返しの推理をしながらだと楽しかった
","最後の二行に何が書かれているのか。
読みながら、様々な推理を立てて行きました。
立てた推理が、読んでいく過程で内容と辻褄が合わなくなり、修正を余儀なくされたり・・・

だけど結局、私の推理は全部大はずれ。
外れてくれた分、楽しめました。
話としては、退屈と言う意見もありますが、普通であることに最後の仕掛けの意味があると私は考えています。",
,,3,"嫌悪をもよおすほどリアル
",男女関係の中に存在する狡猾さをミステリタッチで描いた恋愛小説。考え抜かれたひとつひとつの行動が、あまりに自然体であるがゆえに、かえって薄ら寒さを覚えてしまいます。人が持っている別の顔をあからさまに見せつけられるのは気持ちのいいものじゃありません。本能的な嫌悪感をもよおさせるほどリアルとは言えるでしょうね。,
,,1,"つまらない…
","所謂、叙述トリックだが、その為だけに存在しているような話。
小説の中身は特にトキメキもこの後どうなるのか？！というワクワク感もなくまったく惹かれなかった。

どうしてこの作品がこんなにも注目を浴びているのか…
叙述トリックは本編の話が面白くあってこそ、最後の仕掛けに騙され驚き楽しむのであってこの作品は最後がどうなるのかだけを目的に読み進めていたため、苦痛だった。",
,,1,"面白くない
","面白くない
二度読みもしなかった
お金の無駄
期待はずれもいいとこでした",
,,5,"賛否両論ある理由を考えてみました
","「どんでん返し」「かならず2度読みたくなる」というコピーの本作。
個人的には、本当にすごい、面白い、と思ったのですが、レビューを見ると賛否が割れています。
そこで、なぜ意見がこうも分かれるのか考えてみました。

レビュアーの主張を大きく分けると、
評価の高い方：「（A）気持ちよくだまされた」「（B）伏線・ミスリードを探すのが楽しい」
評価の低い方：「（C）ストーリーがつまらない」「（D）トリックが予想できた」
というかんじに分けることができそうです。

（A）の方が面白いと思えるのはもっともですね。
ミステリ―は、作家にだまされた、というのも醍醐味の一つですから。

（B）の方は、途中でなんとなくトリックに気づいたけど、楽しめた、というタイプですね。
僕もこれでした。後半で「あれ？」と疑問に思ったのが5カ所くらいあり、前半との比較でトリックを確信。
ただ、著者が仕込んだ伏線は5カ所どころではなく、30カ所くらいはあるのので、2回目に読む時に「なるほど」と唸らされます。
1回目は「見破ってやるぞ」という気持ちで読み、結果「見破ったぞ」と満足したのですが、
2回目は最初気づけなかった伏線だらけで、「やられた」と感服し、良い読後感が残りました。

（D）の方は、トリックに気づけた点では（B）と同じですが、感想は真逆です。
この違いは、「2回目に読む」という行為をじっくり行ったか、が原因だと思われます。
言い方を変えれば、「トリックを見破れるか、見破れないか」という点だけを楽しみに読む感覚の人は、1度目を読んだだけで満足してしまい（もしくは不満を抱いてしまい）、（B）のような体験まで行かないのだと思われます。
「どのくらい濃いトリックなのか」「トリックに矛盾はないのか」を隅々まで確かめたくなる几帳面な人は、2度目を注意深く読み、楽しめるのでしょう。

自分がどちらのタイプか考えてみることをお勧めします。
思い当たる方は、あえて避けることで、あなたの時間を無駄にしないですむでしょう。

（C）の方は、「トリックにこだわるあまり、話が退屈、ありきたりだ」というタイプです。
登場人物に感情移入して小説を楽しむ方や、ストーリー自体に急展開やスリル、カタルシスを求める方は読まない方が良いです。
そういう意味での「どんでん返し」ではありませんので。

というわけで、「いつも本をすみずみまで読む人」、「同じ本をたまに読み返す習慣がある人」、「ストーリーはあまり気にしていない人」、「登場人物に魅力を感じなくても楽しめる人」、などにオススメなんじゃないでしょうか。
あまりまとめになっていませんが、本書を読む前の参考ということで。",
,,4,"女は一枚上手
","若い男女が惹かれあって交際を深め，やがて離れていくという一見ありふれたラブストーリー．
ライフステージが進むにつれて生活環境の変化や新しい出会い，価値観の変化を経て，次の恋愛に移っていくのは
人生の一つのプロセスとも言えるが，
その最初の恋愛をイニシエーションラブと表現する言語センスはなかなかの感性である．

とはいえ，この小説の真のテーマはラストの2行目で明かされる真相の方である．
それを理解して思い返すと，いろいろな意味で一枚上手な女性像が結ばれて，印象ががらりと変わる．
例えば，男が犯したのと同じ失敗をしないように
初めから(それも強引に)予防線を張っておくあたり，これは勝ち目はないなと恐れいってしまう．

また，この小説はバブル期を舞台にしているようだが，なるほどこの仕掛けは現在では機能しない．
その計算もなかなかおもしろい．",
,,1,"確かに2度びっくりしました。
",1度目はオチのくだらなさに。2度目はコレを絶賛するお笑い芸人に乗っかるAmazonにw,
,,1,"読む価値無し。
","映画版が面白かったので、つい原作も購入しました。
が、あまりにも稚拙な文章のため、最初の1ページで読むのをやめて削除しました。
中高生の作文レベルです。

昨今流行りのラノベ好きな人なら楽しめるかもしれません。",
,,4,"一応ネタばれなし
","【まずはじめに、私は1年に数冊読む、程度の読書レベルです。】

私には、感じる心はあるけれど、表現する技術がないから、
皆さま方のレビューを見る前に、自身の表現力、説明力の向上を兼ねて
ここに感想を書きます。

まず、あらすじと帯に書かれている前置きがこの本の
ハードルを高くしていて、本当にこんな前ふりで大丈夫かと心配しました。
最後まで読んだ結果、そのハードルを飛び越えたのか、それともくぐったのか、
なんだか自分ではわかりませんでした。

おそらくその理由は、作中の伏線によって生じていた私の中のしこりが
最後から二行めだけで解消されず、判然としなかったこと。
私は解説を最後まで読んで、やっと初めて真相を理解しました。
できれば、最後から二行目だけで全てを物語る、ではなく、
その周辺に、カタルシス的要素をちりばめていてもよかったように思います。
（二行め直前にパラドックスを呼ぶよう、回想こそしていましたが。
あれがもっと刺激的に広がればおもしろかったかも、、、（素人意見御免））

批判を先に書いてしまいましたが総括して、期待を裏切らない
ふれこみどおりの本だったと思います。
初めは、あきらかに伏線とわかる描写、ただそれだけだったのが、
後半では、あきらかに伏線とわかる上、さらにそこに違和感すら与える描写、に変わっていきました。
このもはや不快ともいえる違和感こそ、ミステリーの最大の調味料だと改めて感じました。

sideA、sideBというインデックスにも、隠された意図があるとわかっていたにもかかわらず、
ましてはそれをずっと気にしながら読んだにもかかわらず、私にはこのカラクリを見抜けませんでした。
もっとたくさん本を読めば、見抜けたのかな。
まだまだ小説という芸術の可能性を感じさせる一冊でした。

追記...
そうそう、他の方のレビュー読んで思いましたが、
確かに、恋愛小説色の方が強かったかなあ。
そのせいで、最後に至るまでが確かにやや退屈ではありました。
しかし、本書はそれが醍醐味です。
ミステリではありませんが、村上龍氏の「限りなく透明に近いブルー」
を彷彿とする仕掛けですね。
言わば、最後のパンチを食らうための調味料です。",
,,1,"つまらない
","だらだらと稚拙な物語です。
大げさな宣伝に騙されてはいけません。
初心者向き。推薦したタレントもどうかと思う。",
,,3,"1回読むだけではつまらない恋愛小説です
","2回読んでも感想は変わらないと思うのですが ...

最後の1ページでのどんでん返しで
「なに？どういうこと？」とあせらされます
仕掛けが解ってもそういうことかと思うだけで
感想はいまいちのまんまです
トリックは斬新だっただけに、ストーリーがいまいちで、残念です",
,,1,"稚拙な叙述トリック
","そもそも物語として面白くありません。
さらに、side-Bが始まってすぐの青い宝石の描写でオチに気付いてしまい面白くなさが加速、時間を無駄にしてしまったとさえ感じてしまいました。
今まで読んだ叙述トリックの中でも稚拙な部類に分類されると思います。
あまりオススメ出来る作品ではありません。
叙述トリックが読みたいのであれば十角館や、殺戮に至る病をオススメします。
リピートもイニシエーションラブも面白くありませんでしたので、もうこの人の作品を読むことはないでしょう。",
,,1,"期待はずれ
","すごい話題になってたので、期待して読んでみたが残念。よくある普通の恋愛話しが続く。それでも、最後にすごい事が起こるんだろうと読み進めてみたけど、特になにもなく、男女が出会って別れて…というホントに、よくあるただの恋
愛話しだった。",
,,1,"がっかりを通り越して
",必ず2度読みたくなる、とかなんとか書いてあった帯にひかれて思わず購入したのですが、あまりのつまらなさにがっかりを通り越して購入した自分に腹が立ちました。最後の2行で全てが変わる、とあったのでおもしろくない本文を我慢して最後まで読みましたが、その価値は全くなかったです。これが100万部以上も売れている本だなんて信じられません。,
,,1,"スベらない話
",オチを先に思いついてただそれを言いたいだけだったような感じを受けた。スベらない話みたいな。,
,,3,"どう評価していいものやら
","全く予備知識なく表紙からめくっていたのですが、読み終えて「え？」、背表紙の紹介文を読んで「お！」。
あー、これってミステリー作家が書いてるんだ。そうわかってしまえば、思わせぶりな章立て・タイトル、読んでいて時折り気になる違和感、過剰気味の固有名詞、（登場人物と同世代なんで）これちょっと微妙に時期ずれてるんじゃない的なことなども肯ける。

謎解きパズルとして捉えれば、よく練られた作品だと思う。伏線の張り方であったり、木を隠すには森ふうのダラダラ文章だったり。
再読率が高いようなことが解説に書いてあったけれど、いろいろな読み方が出来るというよりは、カルトムービー的なこんなこともあるよ系何度も読みなのかなと思う。少々無茶な見方だけど、小説＋解説で『なんとなくクリスタル』のパロディかな、なんてのも。

小説なんだからミステリーとは言っても謎解き以外の部分もね、と捉えるとどうだろう。ミステリーとは思わず読んでいて者としては、なんとも評し難い。
書名にある“イニシエーション”を軸に考えると、時代を問わず誰もが部分的には作品と同じような質の青春の門をくぐってきたかもしれない。作品に出てくる地名・店名などを自分の馴染みに置き換えて読むと、今も昔も変わらないねとなるかもしれない。二十歳前後の自己中心的な考えや心の揺らぎってよくわかるよね、かもしれない。著者と同世代であるのでそんな読み方・感じ方もあるのだけど、登場人物の年代に至っていない、これから儀礼を通過する十代はこの作品をどう読み、何を感じるのだろう。そう考えると、うーんと唸ってしまうのであった。",
,,1,"本格好きの方はやめた方がいいです
","二度読みたくなるとありましたが、退屈過ぎて読み返すなどとても無理。
一発ネタを思いついて書いただけという感じで、ミステリを読みなれている
読者ならオチも大体予想つくと思います。
面白いというので買いましたが、激しく後悔しました。",
,,2,"なるほど
","最後から二行目まで引っ張るには、
「最後から二行目（絶対に先に読まないで！）で、本書は全く違った物語に変貌する」って宣伝しなければならなかった訳だ。",
,,2,"つまらない内容＋驚きのラスト
","ラスト数行でこれまでの物語の意味合いが一変するという仕掛け・アイディアは確かに面白いのですが、ミステリーや推理小説にはその手の類いの話は他にもたくさんあります。なぜこれがそんなにプッシュされるか分かりませんが、テレビでタレントさんが推したとか何とかで有名になったとか。ま、そのタレントさん含め、普段小説とか読まない人にとってはこういう展開の話は驚いちゃうんでしょうね。
ラストにどんでん返しがある、という前提を頭に入れて読んでいくと最初の数ページでこの話のおかしさに気づいてしまうので、そういった前情報を頭に入れて読んだほうがいいと思うのですが・・・いかんせん内容がつまらなすぎるので、ラストに驚きがあると知らなければ、その前に読むのやめるかも（笑）",
,,5,"一度読み終わった後でも楽しめる恋愛小説
",大学4年生のたっくんが合コンでマユと出会い付き合うことになる様子を描いたA面と、就職したたっくんがマユと遠距離恋愛をする様子を描いたB面、恋愛の様子が実にリアルに描かれていて恋愛小説としても十分楽しめたのだが、B面の最後の2行を読んで実はトリックが隠されていることに気付き驚愕した。物語を読んでいて、「あれ？こんなことあったっけ？」と、確かに違和感はあったのだが、特に気にせず最後まで読んだので、再度読み返すことになった。読み返すと同時にネタばれサイトを見て、ようやくイニシエーション・ラブの本当の意味に気が付くことができた。一度読み終わった後でも楽しめる恋愛小説だった。,"たっくん
マユ
"
,,4,"ヒントもネタバレのうち
","みなさん悪気なく書き込んでいると思いますが、作品の性質上、ちょっとしたヒントでもネタバレの危険をはらんでいます。
ほとんど「内容に触れたら即ネタバレ」……に近い微妙さがあります。
私も「レビューは読んじゃダメ」というご忠告に従って正解でした。

売り物の最後の2行を読んで、最初、「えっ？？？」でしたが、あとがきなどの助けを得て、やっと理解。
そこからは、自分で謎を解いてゆくセルフ謎解きミステリーです。
著者の手並みは、まことに鮮やかでした。

とはいうものの、そこにたどり着くまでは、けっこう苦戦。
ふだん青春小説とか読まないので……。
でも、「最後の2行」というニンジンにつられ、トコトコ読み進めました。
読んでいる途中より読み終わった後の方が楽しめるという、不思議な小説でした。

ですから、類似の作品をすでに知っている人にとっては、何にもおもしろくないでしょうね。",
,,4,"最初に戻って読み返すと、別の風景が見えてくるミステリー
","若い男女の恋愛小説として読んでも、主人公に感情移入させられたりしてなかなか楽しめたんだけど、この作品が忘れられない一冊になったのは、よく出来たミステリーの「えっ？」という驚きを感じさせてくれたから。最後の頁を読み終えて、いまいちピンとこなかった私は、もう一度、前半のＡ面の話を読み返して、「なるほどなあ。いや、やられましたっ！」と、ようやく話の全貌が見えて腑に落ちたのでした。
本書の帯の惹句に、「ぜひ、２度読まれることをお勧めします」と書いてあるのですが、それがなかったら、本書のミステリーとしての伏線や仕掛けの巧さに気づかずに、素通りしてしまったかもしれません。恋愛小説の顔して、仮面の裏側には別の素顔が潜んでいた、とでもいった感触。さっきまで、大胆な仕掛けと巧みな伏線にやられた国内ミステリーのことを思い出していたのですが（本書ととてもよく似た味わいがあるので）、作品名は書かないほうがいいんでしょうね。本書の中に出てくるデュ・モーリアの小説でも繋がっているかなという、女流作家のミステリーなんですが。
恋愛小説だけで終わってしまっていたら、「そこそこ面白かったかな」という作品だったでしょう。それが、全編に仕掛けられた大胆にして巧みな話の妙に、「おっ！」となりました。寝転んで読んでいたところがむくりと起き上がって、もういっぺん最初から読み返さずにはいられなかった、私にとって、本書はそんなミステリー。",
,,3,"一昔前の月9恋愛ドラマ
","バブルの崩壊とともに生まれたわたくしにも、作品世界の時代感をありありと感じられた。まるで、画質のやや悪い昔のテレビドラマをみているよう。
最近話題になった本なので、コレは正直意外でした。
登場人物たちも気恥ずかしくなるセリフを言い合う、まさに一昔前の月9。

ところどころにある仕掛けの精巧さは感じたが、再度読んで確認するほどの興味は持てなかった。

男目線の恋愛小説だからか、心情表現はかなり単純。濡れ場シーンもやけに具体的だった。
一見何を考えてるかまったくわからぬ女たちにも語ってもらいたくなった。",
,,2,"中々斬新なネタだったが・・・
","あえて呼び方をたっくんにしたところから
ん？と感じ
性格が違うところでなんとなく分かりましたね。
Ａ面→Ｂ面→Ａ面と読めば分かりやすいと思います。
時系列はネタバレを参考にするといいと思います。",たっくん
,,3,"たしかにこの仕掛けは凄い
","今は昔の80年代バブル期を舞台とする恋愛が語られる。まあ退屈ではない。
「最後の数行で世界がひっくり返る」と聞いていたので、ショートショートならともかく、長編でそんなこと可能か？と思っていた。
終盤近くなっても、全然普通の恋愛小説だ。読み終わった。なんだ、何も起こらん。
どちらかが宇宙人とか二人とも男だったとか、そんなオチがつくのかと期待したよ。

だが、注意深く読み直すと・・・ええっ！！いやこれは確かに驚くな。
大仕掛けは確かに凄いが、基本的に守備範囲外のテーマなので、評価は普通で。",
,,3,"オチ以外駄作
",オチのアイディアその一点しかない小説であり、最後の数ページまでたどりつくのが苦痛だった。映画版の方が場を持たせるための工夫が随所に見られるため退屈しないだろう。,
,,3,"確かに……
","二度読みたくなりました。
「はぁっ！？」となって、読み返しました。
ミステリということで、トリックやヒントを取りこぼさないよう必死で目を皿のようにして読んでいたのですが、そういう読み方は必要なかったですね（笑）
骨太の本格ミステリを期待すると、肩透かしを食らいます（笑）
面白い、というか良く出来ている、という感じでした。",
,,4,"結局、2度読みしてしまいました。
","(僕が読んだのは、kobo touchの電子書籍版(文春ウェブ文庫)であることをお断りして
おきます。)
当初は、「目次の段階でネタがバレバレ。二度読みどころか、一度も読む必要は無し。」
というレビューを書く筈でしたが、結局、二度読みしてしまいました。
(ただし、二度目は、確認の為、特定の場所をチェックしたのみ)
一度目を読んでいる途中は、「最後のどんでん返し」というのに一縷の希望を繋いで
苦痛を圧して読んでいる感じでした。
結局、どんでん返し自体は、想像通りでしたが、
(普通のどんでん返しを超えた、大どんでん返しを期待している方は読まない方がいいです。)
物語の構図が少々、当初思っていたのとは違い(但し、それも、途中で見えて来るし、作者も
隠そうとはしていないけれど)、この、「読前の予想が外れた部分」が意外と面白かったので
★4つとしました。(筒井康隆の某作品に対する評価と同じパターン)
ただし、面白いと感じたのは、読み切るまで途中の読み返しを一切しなかったのが
大きな理由かも知れません(とにかく、最後まで「想像を超えた大どんでん返し」に賭けていたので)。
そんな、大どんでん返しなどないことがわかっていれば、途中で読み返したかも
知れないし、そうすれば、一つ一つ妙に納得してしまい、感動？が薄かったかも。
そういう意味では、僕にとっては、「必ず、２度読みたくなる」｢最後から二行目で、
本書は全く違った物語に変貌する｣という、ある種の予感を抱かせつつ、「ひょっとしたら、
その予感を超えるものがあるのかもしれない」という期待を持たせるコピー自体が
最大の罠でした。

蛇足ですが、Kobo touchの電子書籍版は、ページ同士の比較がしづらいですね。
近々、日本で発売されるAmazon kindleでも、やはり同様なのだとすれば、電子書籍の
マイナス点だと思います。特に、この本は、ページ間の比較が必要になるので、
それを強く感じました。
また、kobo touch版には、解説が付いていません。
この本に限っては、紙の本で読んだ方が良かったかも知れません。",
,,3,"途中の不思議が最後に解ける
","　合コンから始まって遠距離恋愛、そして・・。
読んでいくと、ただの若い男女の恋物語・・という感じなのだけれど。
ところが読んでいくうちに、？？？と不思議に思う部分が多々登場。
それでも、それ程気にもせずに読み続けていくけれど。
最後の解説を読んだ瞬間、やっぱり！って。
解説を読んで、もう一度読み返す人もいるそうだけれど、私はそこまではしませんでした。
へー！こんな子もいるんだ、たいしたものだ・・と、最終的な感想は、そんな感じでしょうか。",
,,4,"内容よりも・・・活字というメディアについて。。。
",小説のひとつの判断基準として、どのようにも解釈できる、多義的であるのが良いというのがあるらしい。そういった意味で、騙される読者と、読み終えて、小説の意味を考えて納得する同じ読者がいること、そのことで、この小説が優れていると言えるのではないでしょうか。表面的には、青春小説であり、主人公が学生から就職、社会人になって、恋愛を重ねて、出会いと別れを繰り返すと言ってしまえば、ありきたりですが、中高年が読めば、過去を振り返り共感するシチュエーションが出てくるはずですし、主人公と同じ世代ならマニュアル的に読むかもしれません。そこは、登場人物のキャラクターがうまくモデル化されていて、サクサクと読みやすく、非常に上手に書けているのではないでしょうか。そして、読者は、主人公のキャラクターを素直に受け入れ感情移入して、作者の意図が主人公に反映していると思い込みがちですが、作者は登場人物を客観的に見ているし、作者の意図は明らかに別のところにあります。そういった意味でも、小説という活字のメディアの面白さを教えてくれるのではないでしょうか。,
,,4,"映画を先に見るのもいい。映画は原作に忠実で、台詞などはほとんどそのまま。
","映画を先に見た。だから内容はもう知っていて、本を読んだが、原作（小説）は面白かった。

著者は、名前と書き方から女性だとばかり思っていたが、ひげ面のおっさん。
静岡大学出身のジモピー。静岡ネタがやけに詳しいのもうなづける。

どうもレビューは辛口が多い。では、まず映画を見てしまうのはどうだろうか。
映画は原作にかなり忠実で、台詞などはほとんどそのまま原作を使っている。

でも映像ならではの魅力にあふれていて、自分としてはたのしく見られた一本。
そこからの興味として原作を読むなら、腹も立たない。

映画を見て、原作を読んで、どちらも楽しめて、その後に、ひとつのことを思う。
それは原作でも映画でも、ほとんどまったく描かれなかったこと。

繭子の本心。彼女は、どういう思いで、ふたりの男性と、
時期的にほぼ完全に重なりながら、付きあっていたのか。
彼女は、いったいどういう女性だったのか・・・。",
,,3,"．
","内容が平凡でつまらないのは
トリックを見破られないための策だと思いますよ。

一つ一つが面白くて念入りに読んでしまい
細かく記憶してしまうようなことがあれば
最後に辿り着く前にトリックに気付いてしまうので。",
,,4,"二度読まなくてもいいのですが。
","すらすら読めてしまいます。
最後の２行で確かにしてやられてしまいます。
Ａ面とＢ面がヒントになっていますが、まさかの・・・・
もうこれ以上は書けません。
二度読むのは忙しい人には酷です。
ネットで調べられますので。

平凡な女性ほど怖いのだ、と作者は言いたかったのかもしれません。
トリックの全容を知ると、女性の怖さが浮き彫りに
なってきます。
あなたの身近にもこんな女性はいないでしょうか。

でもいろいろな物議をかもした点で、筆者は
あっぱれだと思いました。映像化は不可能な作品ですね。
そこがまたいいです。他の作品も読んでみたくなりました。",
,,1,"ラスト2行詐欺
",オチに気付いても気付かなくても、どっちにしろつまらない小説。,
,,4,"男ってやつぁよぉ、なんて感想を抱く。最後の章までは
","前半は、マユとたっくんの純愛物語で、後半は、マユとたっくんに美弥子を加えた三角関係の恋愛模様になっていく、、という恋愛小説。男ってやつぁよぉ、なんて感想を抱く。最後の章までは。そして、最後のページをめくった後は、女は怖い、という感想に早変わりの叙述トリックが仕掛けられているミステリ小説でもある。

伏線の張り方もなかなか上手であり、思い出す場面場面で、なーる、と思う。もう一度見直してもいいかも、なんて思った。ちょっと読み直して「タック」の話が出たときなんか、「おおーここでっ」とか思うのである。章の分割がSIDE-AとSIDE-Bに分かれているところも、「そういうことっ」なのである。

近ごろ流行っている純愛小説のようで、実はまるでそうではなく、逆に生々しささえ感じられる秀作。まぁ、自分が叙述トリック好きというのもある。最後に「なにーーー」と驚きがあると、こう、読んだなー、っていう気にもなるし。","マユ
たっくん"
,,4,"あー！結末が分かってしまいました(>_<)
",読んでいるうちにどんでん返しが残りのページ数でなんとなく分かってしまいました。もう少し驚きがほしかったかな！でも80年代に浸かれました。,
,,4,"ラスト2行でひっくりかえす
","　「このミス」にもランクインしているとのことなので手にとってみました。

　内容は普通に読んでいる限りでは青春モノの恋愛小説といったところでしょう。但し「ラスト２行は絶対に読まないで」と書いてあったので、最後にどんなどんでん返しがあるのかと探りながら読んでいたのですが、確かにこれはやられました。

　筒井康隆の「ロートレック荘事件」的なものを想像していたのですが、やってくれました。

　ラストをすごいと思うかどうかで評価は分かれると思いますが、文章的にはかなり読みやすく、１日で読んでしまうことも可能かと。",
,,2,"トリック
","衝撃の結末とか、絶対に2度読む、という触れ込みのおかげで何か仕掛けがあるぞ！という目で読んでしまったため、サイドAのうちに結末への予想がたってしまいました。かなりヒントとして分かりやすい出方をするので、これだけ「あなたはかならずら騙される！」と言われると警戒して気になってしいますね。
サイドBを読み進めるなかでも、かなりわかりやすいヒントがチラホラ出るので最後の驚きはなかったです。むしろ、途中からは〝そう〟としか思えなかったので、「もしかしてこれはフェイクで大どんでん返しが？」とか考えたくらいです。
もうすこし分かりにくくしてもよかったのになあ",
